case,transition_mode,mixer_method,method,theta,theta_over_pi,beta,beta_over_pi,r,P_valid,P_uniform,delta_theta_pi_vs_exp,delta_beta_pi_vs_exp,delta_r_vs_exp,delta_P_vs_exp,W,valid_windows
06_2d_tiny_corner_block,cost_phase,local_geometric,Experimental,1.780235837034216,0.5666666666666667,0.6283185307179586,0.2,7,0.9012766392706943,0.25,0.0,0.0,0,0.0,4,1
06_2d_tiny_corner_block,cost_phase,linear_valid,M1 (sweep),1.308996938995747,0.41666666666666663,0.6544984694978735,0.20833333333333331,24,0.8853063327758464,0.25,-0.125,-0.04166666666666669,4,0.04002894914180144,4,1
06_2d_tiny_corner_block,cost_phase,linear_valid,M2 (eigen),1.5707963267948966,0.5,0.28,0.0891267681314614,20,0.6252307135654682,0.25,-0.04166666666666662,-0.1608732318685386,0,-0.2200466700685767,4,1
06_2d_tiny_corner_block,cost_phase,linear_valid,M3 (theory),1.5707963267948966,0.5,1.1071487177940906,0.3524163823495668,1,0.43733126291998997,0.25,-0.04166666666666662,0.10241638234956678,-19,-0.40794612071405495,4,1
06_2d_tiny_corner_block,cost_phase,linear_valid,M4 (grad),1.2735704451836223,0.4053900634534384,0.9216895074230108,0.29338288220461267,20,0.5076227790762033,0.25,-0.13627660321322818,0.04338288220461267,0,-0.3376546045578416,4,1
06_2d_tiny_corner_block,cost_phase,linear_valid,M5 (hybrid),1.4398966328953218,0.4583333333333333,0.6708609312353203,0.21354166666666663,32,0.8982460470434237,0.25,-0.08333333333333331,-0.03645833333333336,12,0.05296866340937878,4,1
06_2d_tiny_corner_block,cost_phase,linear_valid,Experimental,1.7016960206944711,0.5416666666666666,0.7853981633974483,0.25,20,0.8452773836340449,0.25,0.0,0.0,0,0.0,4,1
06_2d_tiny_corner_block,cost_phase,rx_all,M1 (sweep),0.916297857297023,0.29166666666666663,0.39269908169872414,0.125,18,0.9574046875282726,0.25,-0.41666666666666663,-0.14583333333333331,-13,0.019017684629627718,4,1
06_2d_tiny_corner_block,cost_phase,rx_all,M2 (eigen),1.5707963267948966,0.5,0.28,0.0891267681314614,31,0.6577203752212697,0.25,-0.20833333333333323,-0.18170656520187192,0,-0.28066662767737516,4,1
06_2d_tiny_corner_block,cost_phase,rx_all,M3 (theory),1.5707963267948966,0.5,1.1071487177940906,0.3524163823495668,1,0.41000000000000003,0.25,-0.20833333333333323,0.08158304901623346,-30,-0.5283870028986448,4,1
